Wd,Wn,We,Wout,N,DC Gain,Freq Corte,SR
8.2e-06,5.6e-06,7.2e-06,1.8e-06,9,38.9068070105164,186208.71366628434,8201657.5
3.2e-06,5.199999999999999e-06,9e-06,1.6e-06,13,28.2133628252381,204173.79446695026,6587841.5
5.199999999999999e-06,7.2e-06,9.4e-06,1.6e-06,5,55.7170068030528,120226.44346173984,4620826.5
5.6e-06,1.4e-06,9.8e-06,6.5999999999999995e-06,13,1497.921472298324,3548.1338923357275,8643981.0
3.3999999999999996e-06,5.7999999999999995e-06,7.8e-06,6.799999999999999e-06,14,1999.1406340293865,2570.3957827688455,12690941.0
4.4e-06,1.8e-06,1e-06,4.4e-06,15,0.19619701751120788,28183829.31264398,3109498.8
2.2e-06,5.199999999999999e-06,8.4e-06,6.2e-06,10,1831.0214576529852,2238.7211385683245,10580910.0
4e-06,5.6e-06,4.6e-06,5.6e-06,8,1517.5200912991572,3090.2954325135674,12365847.0
8e-06,7.8e-06,4.6e-06,6e-07,4,82.31287329639966,83176.37711026614,8228182.0
7.6e-06,7.6e-06,1e-06,2e-06,12,0.9696657868509889,3630780.5477009495,4457855.5
8e-06,1.2e-06,9e-06,9.2e-06,10,1378.782419383257,4265.795188015893,8605804.0
4e-06,2.8e-06,7e-06,3.2e-06,1,1185.8578895521914,4570.881896148713,4608701.5
1.4e-06,2.8e-06,3.8e-06,1.2e-06,2,129.19497269779393,42657.95188015881,1853374.9
5.6e-06,8.8e-06,4.4e-06,1.8e-06,10,31.67783748070053,177827.94100389,9031634.0
6.799999999999999e-06,9.4e-06,3.6e-06,9.6e-06,2,1.4656532771229485,1047128.5480508829,5659693.5
5.6e-06,4e-06,8.2e-06,1e-06,14,15.216226931051713,436515.8322401596,3235388.0
8.599999999999999e-06,4.8e-06,1e-06,5.7999999999999995e-06,16,0.11902115303004239,54954087.38576132,5965495.0
2.2e-06,2e-07,7.3999999999999995e-06,4.4e-06,3,200.81181588439904,8912.509381337379,2650449.2
9.6e-06,9e-06,6e-06,9.2e-06,5,2374.0376739978183,3311.311214825886,14370367.0
4e-06,2.8e-06,6.4e-06,9.2e-06,10,2598.889604073352,1995.2623149688663,10378608.0
8.2e-06,3e-06,8.4e-06,3.8e-06,12,1320.3784564104287,5370.317963702482,11759896.0
3e-06,5.4e-06,9.4e-06,6.4e-06,19,1926.075736178377,2511.8864315095625,12292563.0
4.6e-06,3.8e-06,7e-06,3.8e-06,2,1322.128079826827,4466.835921509595,8640005.0
